"","Treatment","Session","GroupID","RoleID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"276","Infrequent Revision Mechanism","3","6","6","90","79","66","1","75","4","49","2","79","1"
"277","Infrequent Revision Mechanism","4","7","1","101","102","56","11","39","4","4","4","4","2"
"278","Infrequent Revision Mechanism","4","7","2","95","94","93","4","4","4","2","4","3","3"
"279","Infrequent Revision Mechanism","4","7","3","43","63","58","4","2","3","2","2","4","1"
"280","Infrequent Revision Mechanism","4","7","4","11","4","2","3","3","3","4","3","2","4"
"281","Infrequent Revision Mechanism","4","7","5","88","38","86","3","2","2","3","2","2","2"
"282","Infrequent Revision Mechanism","4","7","6","40","105","100","4","4","5","82","5","4","5"
"283","Infrequent Revision Mechanism","4","8","1","69","52","6","69","13","20","83","14","80","1"
"284","Infrequent Revision Mechanism","4","8","2","100","4","8","3","44","2","4","64","2","2"
"285","Infrequent Revision Mechanism","4","8","3","26","95","56","83","27","62","8","64","73","2"
"286","Infrequent Revision Mechanism","4","8","4","6","6","12","9","66","68","72","63","11","1"
"287","Infrequent Revision Mechanism","4","8","5","83","67","92","75","37","17","3","76","52","1"
"288","Infrequent Revision Mechanism","4","8","6","91","48","35","26","39","18","14","2","2","2"
