"","Treatment","Session","GroupID","RoleID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"68","Revision Cheap Talk 60th","2","2","4","7","7","7","7","7","7","7","7","7","7"
"69","Revision Cheap Talk 60th","2","2","4","2","3","5","3","4","3","4","4","3","2"
"70","Revision Cheap Talk 60th","2","2","4","7","7","7","5","7","7","6","7","7","7"
"71","Revision Cheap Talk 60th","2","2","4","3","5","6","5","5","5","5","5","5","5"
"72","Revision Cheap Talk 60th","2","2","4","7","7","7","7","7","7","7","7","7","7"
"73","Revision Cheap Talk 60th","3","3","5","3","5","2","6","5","6","6","2","6","6"
"74","Revision Cheap Talk 60th","3","3","5","7","7","7","7","7","7","7","7","7","7"
"75","Revision Cheap Talk 60th","3","3","5","7","7","7","7","7","7","7","7","7","7"
"76","Revision Cheap Talk 60th","3","3","5","3","6","4","6","6","6","7","7","7","7"
"77","Revision Cheap Talk 60th","3","3","5","7","7","7","7","7","7","7","7","7","7"
"78","Revision Cheap Talk 60th","3","3","5","7","7","7","7","7","7","7","1","7","7"
"79","Revision Cheap Talk 60th","3","3","6","7","7","7","7","7","7","7","7","4","7"
"80","Revision Cheap Talk 60th","3","3","6","7","7","7","7","7","7","7","7","7","7"
"81","Revision Cheap Talk 60th","3","3","6","7","7","7","7","7","7","7","7","7","7"
"82","Revision Cheap Talk 60th","3","3","6","7","7","7","7","7","7","7","7","7","7"
"83","Revision Cheap Talk 60th","3","3","6","7","7","7","7","7","7","7","7","7","7"
"84","Revision Cheap Talk 60th","3","3","6","7","7","7","7","7","7","7","7","7","7"
"85","Revision Cheap Talk 60th","4","4","7","3","7","7","7","7","7","7","7","7","7"
"86","Revision Cheap Talk 60th","4","4","7","4","2","6","5","3","6","6","7","7","7"
"87","Revision Cheap Talk 60th","4","4","7","7","3","7","7","7","7","7","7","7","7"
"88","Revision Cheap Talk 60th","4","4","7","3","7","7","7","7","7","7","7","7","7"
"89","Revision Cheap Talk 60th","4","4","7","6","7","3","7","7","7","7","7","7","7"
"90","Revision Cheap Talk 60th","4","4","7","3","7","7","7","7","7","7","7","7","7"
"91","Revision Cheap Talk 60th","4","4","8","7","7","7","7","7","7","7","7","7","7"
"92","Revision Cheap Talk 60th","4","4","8","7","7","7","7","7","7","7","7","7","7"
"93","Revision Cheap Talk 60th","4","4","8","7","7","7","7","7","7","7","7","7","7"
"94","Revision Cheap Talk 60th","4","4","8","5","7","7","7","7","7","7","7","7","7"
"95","Revision Cheap Talk 60th","4","4","8","5","7","7","7","7","7","7","7","7","7"
"96","Revision Cheap Talk 60th","4","4","8","5","7","7","7","7","7","7","7","7","7"
"97","Revision Cheap Talk 60th","1","1","9","7","7","7","7","7","7","7","7","7","7"
"98","Revision Cheap Talk 60th","1","1","9","5","6","7","7","7","7","7","7","7","7"
"99","Revision Cheap Talk 60th","1","1","9","7","6","7","7","7","7","7","7","7","7"
"100","Revision Cheap Talk 60th","1","1","9","7","6","7","7","7","7","7","7","7","7"
"101","Revision Cheap Talk 60th","1","1","9","7","6","6","7","7","7","7","7","7","7"
"102","Revision Cheap Talk 60th","1","1","9","7","7","7","7","7","7","7","7","7","7"
"103","Revision Cheap Talk 60th","1","1","10","7","7","7","7","7","7","7","7","7","7"
"104","Revision Cheap Talk 60th","1","1","10","6","6","7","7","7","7","7","7","7","7"
"105","Revision Cheap Talk 60th","1","1","10","5","7","7","7","7","7","7","7","7","7"
"106","Revision Cheap Talk 60th","1","1","10","7","5","7","7","7","7","7","7","7","7"
"107","Revision Cheap Talk 60th","1","1","10","5","5","7","7","7","7","7","7","7","7"
"108","Revision Cheap Talk 60th","1","1","10","7","7","7","7","7","2","7","7","1","7"
"109","Revision Cheap Talk 60th","2","2","11","5","3","7","7","7","7","7","7","7","7"
"110","Revision Cheap Talk 60th","2","2","11","7","3","5","7","4","3","7","7","7","7"
"111","Revision Cheap Talk 60th","2","2","11","7","2","7","7","7","1","7","7","7","7"
"112","Revision Cheap Talk 60th","2","2","11","7","7","7","7","7","7","7","7","7","7"
"113","Revision Cheap Talk 60th","2","2","11","5","2","4","5","4","7","5","7","7","7"
"114","Revision Cheap Talk 60th","2","2","11","6","6","4","5","5","5","7","1","7","5"
"115","Revision Cheap Talk 60th","2","2","12","1","3","7","7","7","7","7","7","7","7"
"116","Revision Cheap Talk 60th","2","2","12","6","7","4","5","6","6","5","7","7","7"
"117","Revision Cheap Talk 60th","2","2","12","1","3","4","7","7","7","5","7","7","7"
"118","Revision Cheap Talk 60th","2","2","12","6","3","4","5","7","7","5","7","7","7"
"119","Revision Cheap Talk 60th","2","2","12","1","7","7","7","7","7","5","7","7","7"
"120","Revision Cheap Talk 60th","2","2","12","7","3","7","7","5","7","5","7","7","7"
"121","Revision Cheap Talk 60th","3","3","13","7","7","7","7","7","7","7","7","7","7"
"122","Revision Cheap Talk 60th","3","3","13","5","7","7","7","7","7","7","7","7","7"
"123","Revision Cheap Talk 60th","3","3","13","5","7","7","7","7","7","7","7","7","7"
"124","Revision Cheap Talk 60th","3","3","13","5","7","7","7","7","7","7","7","7","7"
"125","Revision Cheap Talk 60th","3","3","13","5","7","7","7","7","7","7","7","7","7"
"126","Revision Cheap Talk 60th","3","3","13","7","7","7","7","7","7","7","7","7","7"
"127","Revision Cheap Talk 60th","3","3","14","2","7","7","7","7","7","7","7","7","7"
"128","Revision Cheap Talk 60th","3","3","14","7","7","7","7","5","7","6","5","7","6"
"129","Revision Cheap Talk 60th","3","3","14","1","5","6","5","5","7","7","7","7","7"
"130","Revision Cheap Talk 60th","3","3","14","2","5","7","7","7","7","7","6","7","6"
"131","Revision Cheap Talk 60th","3","3","14","4","2","6","5","5","7","6","5","5","6"
"132","Revision Cheap Talk 60th","3","3","14","4","5","7","7","5","7","7","7","7","7"
"133","Revision Cheap Talk 60th","4","4","15","7","7","7","7","7","7","7","7","7","7"
"134","Revision Cheap Talk 60th","4","4","15","7","7","7","7","7","7","7","7","7","7"
"135","Revision Cheap Talk 60th","4","4","15","7","7","7","7","7","7","7","7","7","7"
"136","Revision Cheap Talk 60th","4","4","15","7","7","7","7","7","7","7","7","7","7"
"137","Revision Cheap Talk 60th","4","4","15","7","7","7","7","7","7","7","7","7","7"
"138","Revision Cheap Talk 60th","4","4","15","7","7","7","7","7","7","7","7","7","7"
"139","Revision Cheap Talk 60th","4","4","16","4","4","2","2","2","3","4","4","6","7"
"140","Revision Cheap Talk 60th","4","4","16","4","3","7","7","7","7","7","7","7","7"
"141","Revision Cheap Talk 60th","4","4","16","7","7","4","7","7","7","7","7","7","7"
"142","Revision Cheap Talk 60th","4","4","16","6","3","6","2","2","3","4","4","6","7"
"143","Revision Cheap Talk 60th","4","4","16","4","3","3","2","2","3","4","4","6","7"
"144","Revision Cheap Talk 60th","4","4","16","7","7","7","7","2","5","5","7","7","7"
"145","Richer Revision Cheap Talk 60th","1","1","1","7","7","7","7","7","7","7","7","7","7"
"146","Richer Revision Cheap Talk 60th","1","1","1","4","7","7","1","7","7","7","7","5","5"
"147","Richer Revision Cheap Talk 60th","1","1","1","7","7","7","7","7","7","7","7","7","7"
"148","Richer Revision Cheap Talk 60th","1","1","1","7","7","7","7","7","7","7","7","7","7"
"149","Richer Revision Cheap Talk 60th","1","1","1","5","7","7","7","7","7","7","7","5","5"
"150","Richer Revision Cheap Talk 60th","1","1","1","6","7","7","6","7","7","7","7","7","4"
"151","Richer Revision Cheap Talk 60th","2","2","2","7","7","7","7","7","7","7","7","7","6"
"152","Richer Revision Cheap Talk 60th","2","2","2","7","7","7","7","7","7","7","7","7","7"
"153","Richer Revision Cheap Talk 60th","2","2","2","7","7","7","7","7","7","7","7","7","7"
"154","Richer Revision Cheap Talk 60th","2","2","2","7","7","7","7","7","7","7","7","7","5"
"155","Richer Revision Cheap Talk 60th","2","2","2","7","7","7","7","7","7","7","7","7","7"
"156","Richer Revision Cheap Talk 60th","2","2","2","7","7","7","7","7","7","7","7","7","7"
"157","Richer Revision Cheap Talk 60th","3","3","3","7","6","7","7","7","7","7","7","7","7"
"158","Richer Revision Cheap Talk 60th","3","3","3","7","7","7","7","7","7","7","7","7","7"
"159","Richer Revision Cheap Talk 60th","3","3","3","4","5","7","7","7","7","7","7","7","7"
"160","Richer Revision Cheap Talk 60th","3","3","3","6","6","6","7","7","7","7","7","7","7"
"161","Richer Revision Cheap Talk 60th","3","3","3","7","7","7","7","7","7","7","7","7","7"
"162","Richer Revision Cheap Talk 60th","3","3","3","7","7","7","7","7","7","7","7","7","7"
"163","Richer Revision Cheap Talk 60th","4","4","4","5","7","5","1","1","7","7","7","7","7"
"164","Richer Revision Cheap Talk 60th","4","4","4","7","5","5","7","1","7","7","7","7","7"
"165","Richer Revision Cheap Talk 60th","4","4","4","5","7","7","7","1","7","7","7","7","7"
"166","Richer Revision Cheap Talk 60th","4","4","4","7","7","5","6","7","7","7","7","7","7"
"167","Richer Revision Cheap Talk 60th","4","4","4","7","7","7","7","7","7","7","7","7","7"
"168","Richer Revision Cheap Talk 60th","4","4","4","5","6","6","7","7","7","7","7","7","7"
"169","Richer Revision Cheap Talk 60th","5","5","5","7","7","7","7","7","7","7","7","7","7"
"170","Richer Revision Cheap Talk 60th","5","5","5","7","7","7","7","7","7","7","7","7","7"
"171","Richer Revision Cheap Talk 60th","5","5","5","7","7","7","7","5","7","7","7","7","7"
"172","Richer Revision Cheap Talk 60th","5","5","5","7","7","7","7","7","7","7","7","7","7"
"173","Richer Revision Cheap Talk 60th","5","5","5","6","7","6","4","5","7","7","7","7","7"
"174","Richer Revision Cheap Talk 60th","5","5","5","7","7","7","6","7","7","7","7","7","7"
"175","Richer Revision Cheap Talk 60th","6","6","6","7","6","7","7","7","7","7","7","7","7"
"176","Richer Revision Cheap Talk 60th","6","6","6","5","4","7","7","7","7","6","7","7","7"
"177","Richer Revision Cheap Talk 60th","6","6","6","7","4","7","7","4","4","7","7","7","7"
"178","Richer Revision Cheap Talk 60th","6","6","6","5","6","5","4","5","7","4","5","7","7"
"179","Richer Revision Cheap Talk 60th","6","6","6","6","6","7","7","4","4","5","7","7","7"
"180","Richer Revision Cheap Talk 60th","6","6","6","4","4","7","7","7","7","5","7","7","7"
"181","Richer Revision Cheap Talk 60th","7","7","7","7","7","5","7","7","7","7","7","7","7"
"182","Richer Revision Cheap Talk 60th","7","7","7","3","4","5","4","5","6","6","7","7","7"
"183","Richer Revision Cheap Talk 60th","7","7","7","7","4","5","6","5","6","6","7","7","7"
"184","Richer Revision Cheap Talk 60th","7","7","7","7","7","7","5","5","6","7","7","7","7"
"185","Richer Revision Cheap Talk 60th","7","7","7","5","4","5","5","5","6","6","7","7","7"
"186","Richer Revision Cheap Talk 60th","7","7","7","5","5","5","5","5","6","6","7","7","7"
"187","Richer Revision Cheap Talk 60th","8","8","8","2","7","7","7","7","7","7","7","7","7"
"188","Richer Revision Cheap Talk 60th","8","8","8","3","7","7","7","7","7","7","7","7","7"
"189","Richer Revision Cheap Talk 60th","8","8","8","7","7","7","1","7","5","7","7","7","7"
"190","Richer Revision Cheap Talk 60th","8","8","8","7","7","7","7","7","5","7","7","7","7"
"191","Richer Revision Cheap Talk 60th","8","8","8","1","1","4","7","2","6","7","7","7","7"
"192","Richer Revision Cheap Talk 60th","8","8","8","7","7","7","7","2","7","7","7","7","7"
"193","Richer Revision Cheap Talk G 60th","1","1","1","7","7","7","7","7","7","7","7","7","7"
"194","Richer Revision Cheap Talk G 60th","1","1","1","7","7","7","7","7","7","7","7","7","7"
"195","Richer Revision Cheap Talk G 60th","1","1","1","7","7","7","7","7","7","7","7","7","7"
"196","Richer Revision Cheap Talk G 60th","1","1","1","7","7","7","7","7","7","7","7","7","7"
"197","Richer Revision Cheap Talk G 60th","1","1","1","7","7","7","7","7","7","7","7","5","5"
"198","Richer Revision Cheap Talk G 60th","1","1","1","7","7","7","6","7","7","7","7","7","7"
"199","Richer Revision Cheap Talk G 60th","2","2","2","7","7","7","7","7","7","7","7","7","6"
"200","Richer Revision Cheap Talk G 60th","2","2","2","7","7","7","7","7","7","7","7","7","7"
"201","Richer Revision Cheap Talk G 60th","2","2","2","7","7","7","7","7","7","7","7","7","7"
"202","Richer Revision Cheap Talk G 60th","2","2","2","7","7","7","7","7","7","7","7","7","7"
"203","Richer Revision Cheap Talk G 60th","2","2","2","7","7","7","7","7","7","7","7","7","7"
"204","Richer Revision Cheap Talk G 60th","2","2","2","7","7","7","7","7","7","7","7","7","7"
"205","Richer Revision Cheap Talk G 60th","3","3","3","7","6","7","7","7","7","7","7","7","7"
"206","Richer Revision Cheap Talk G 60th","3","3","3","7","7","7","7","7","7","7","7","7","7"
"207","Richer Revision Cheap Talk G 60th","3","3","3","5","7","7","7","7","7","7","7","7","7"
"208","Richer Revision Cheap Talk G 60th","3","3","3","5","6","7","7","7","7","7","7","7","7"
"209","Richer Revision Cheap Talk G 60th","3","3","3","7","7","7","7","7","7","7","7","7","7"
"210","Richer Revision Cheap Talk G 60th","3","3","3","7","7","7","7","7","7","7","7","7","7"
"211","Richer Revision Cheap Talk G 60th","4","4","4","4","7","5","1","1","7","7","7","7","7"
"212","Richer Revision Cheap Talk G 60th","4","4","4","7","7","7","7","7","7","7","7","7","7"
"213","Richer Revision Cheap Talk G 60th","4","4","4","5","7","5","1","6","7","7","7","7","7"
"214","Richer Revision Cheap Talk G 60th","4","4","4","7","7","7","7","7","7","7","7","7","7"
"215","Richer Revision Cheap Talk G 60th","4","4","4","7","7","7","7","7","7","7","7","7","7"
"216","Richer Revision Cheap Talk G 60th","4","4","4","4","5","6","7","7","7","7","7","7","7"
"217","Richer Revision Cheap Talk G 60th","5","5","5","7","7","7","7","7","7","7","7","7","7"
"218","Richer Revision Cheap Talk G 60th","5","5","5","7","7","7","7","7","7","7","7","7","7"
"219","Richer Revision Cheap Talk G 60th","5","5","5","7","7","7","7","7","7","7","7","7","7"
"220","Richer Revision Cheap Talk G 60th","5","5","5","7","7","7","7","7","7","7","7","7","7"
"221","Richer Revision Cheap Talk G 60th","5","5","5","7","6","4","4","6","7","7","7","7","7"
"222","Richer Revision Cheap Talk G 60th","5","5","5","7","7","3","7","5","7","7","7","7","7"
"223","Richer Revision Cheap Talk G 60th","6","6","6","7","7","7","7","7","7","7","7","7","7"
"224","Richer Revision Cheap Talk G 60th","6","6","6","7","7","7","7","7","7","7","7","7","7"
"225","Richer Revision Cheap Talk G 60th","6","6","6","7","7","7","7","4","4","7","7","7","7"
"226","Richer Revision Cheap Talk G 60th","6","6","6","4","6","7","4","5","6","4","7","7","7"
"227","Richer Revision Cheap Talk G 60th","6","6","6","7","7","7","7","4","4","7","7","7","7"
"228","Richer Revision Cheap Talk G 60th","6","6","6","4","6","6","7","7","7","7","7","7","7"
"229","Richer Revision Cheap Talk G 60th","7","7","7","7","7","7","7","7","7","7","7","7","7"
"230","Richer Revision Cheap Talk G 60th","7","7","7","4","4","7","7","7","7","7","7","7","7"
"231","Richer Revision Cheap Talk G 60th","7","7","7","7","4","5","7","7","6","7","7","7","7"
"232","Richer Revision Cheap Talk G 60th","7","7","7","7","6","5","5","5","6","7","7","7","7"
"233","Richer Revision Cheap Talk G 60th","7","7","7","5","4","5","7","6","6","7","7","7","7"
"234","Richer Revision Cheap Talk G 60th","7","7","7","5","5","5","5","5","6","7","7","7","7"
"235","Richer Revision Cheap Talk G 60th","8","8","8","1","7","7","7","7","6","7","7","7","7"
"236","Richer Revision Cheap Talk G 60th","8","8","8","7","7","7","7","7","7","7","7","7","7"
"237","Richer Revision Cheap Talk G 60th","8","8","8","7","7","7","7","7","7","7","7","7","7"
"238","Richer Revision Cheap Talk G 60th","8","8","8","7","7","7","7","7","5","7","7","7","7"
"239","Richer Revision Cheap Talk G 60th","8","8","8","6","7","4","7","2","6","7","7","7","7"
"240","Richer Revision Cheap Talk G 60th","8","8","8","7","7","7","7","2","7","7","7","7","7"
